name,cpu,gpu,ram,duration,location,replicas,latency
inference,4,14,8,21,us-west-1,6,32
inference,5,16,5,22,us-east-1,6,21
postprocessing,4,9,8,47,eu-south-1,4,33
preprocessing,2,13,4,33,us-east-1,2,30
postprocessing,5,5,3,35,us-west-1,5,33
inference,1,2,8,10,ap-south-1,4,34
postprocessing,4,6,5,35,ap-northeast-3,6,28
inference,1,15,3,21,ap-south-1,6,30
inference,1,12,7,39,ap-northeast-3,5,23
inference,2,10,6,11,ap-northeast-3,6,25
preprocessing,2,14,4,44,eu-west-2,1,20
inference,5,7,7,31,eu-west-2,3,23
preprocessing,1,16,3,47,us-east-1,5,23
inference,1,2,4,45,eu-west-2,4,36
inference,5,13,4,25,eu-south-1,6,38
preprocessing,2,3,5,13,ap-northeast-3,1,21
preprocessing,3,6,4,33,eu-west-2,6,30
postprocessing,5,0,8,22,us-west-1,1,32
inference,3,9,7,45,us-east-1,4,20
preprocessing,2,0,4,30,ap-south-1,1,40
postprocessing,2,6,7,36,eu-south-1,1,20
inference,2,7,8,38,eu-west-2,1,29
inference,5,4,2,37,us-east-1,3,23
preprocessing,4,9,8,12,us-west-1,2,38
inference,5,12,6,14,ap-northeast-3,1,40
inference,3,9,2,30,us-west-1,2,39
postprocessing,5,14,4,18,eu-west-2,5,26
postprocessing,5,9,8,18,us-east-1,2,36
preprocessing,3,4,6,37,ap-south-1,6,32
inference,6,5,7,11,ap-south-1,5,26
postprocessing,6,15,8,38,eu-west-2,4,24
preprocessing,6,3,4,31,ap-south-1,3,38
postprocessing,5,14,5,46,us-east-1,6,22
postprocessing,2,7,2,22,ap-south-1,3,35
postprocessing,5,11,2,44,us-east-1,5,35
inference,4,15,6,32,us-east-1,4,32
preprocessing,2,14,3,13,us-west-1,5,24
inference,2,4,3,47,us-west-1,2,25
preprocessing,1,12,8,42,ap-northeast-3,1,37
inference,1,14,4,29,eu-west-2,3,37
inference,5,12,4,46,eu-south-1,5,35
postprocessing,2,4,4,13,eu-west-2,6,23
postprocessing,5,16,7,15,eu-west-2,3,26
preprocessing,1,5,5,17,ap-northeast-3,1,38
preprocessing,4,15,6,18,us-east-1,1,31
inference,1,13,3,49,us-west-1,4,37
inference,1,8,6,48,ap-south-1,2,24
postprocessing,5,9,4,10,ap-northeast-3,5,34
inference,2,16,7,10,us-east-1,4,37
postprocessing,6,8,8,49,us-east-1,6,36
inference,3,5,4,25,ap-south-1,6,26
postprocessing,6,12,7,37,us-east-1,2,28
inference,4,9,4,50,us-east-1,3,24
postprocessing,1,15,6,24,ap-south-1,1,39
inference,4,11,3,31,ap-northeast-3,2,21
inference,4,5,7,40,eu-west-2,2,30
inference,4,0,8,12,ap-northeast-3,3,27
inference,2,10,3,49,eu-west-2,1,40
preprocessing,1,14,3,38,ap-northeast-3,4,36
postprocessing,1,10,2,38,eu-west-2,1,26
inference,4,13,4,30,eu-south-1,6,24
preprocessing,2,1,6,14,eu-west-2,5,23
postprocessing,5,6,7,17,us-west-1,1,23
inference,3,8,8,27,eu-south-1,1,22
inference,3,12,2,12,ap-south-1,3,36
preprocessing,6,15,6,32,us-west-1,1,40
preprocessing,2,8,6,26,ap-northeast-3,3,28
preprocessing,2,1,2,21,us-west-1,3,33
preprocessing,5,15,7,32,eu-south-1,3,31
preprocessing,3,11,6,18,us-east-1,4,31
postprocessing,5,6,7,25,ap-south-1,1,35
inference,4,7,7,50,eu-west-2,4,34
postprocessing,4,0,8,19,us-east-1,3,34
inference,6,0,6,36,ap-south-1,3,29
preprocessing,3,4,7,17,us-west-1,5,27
inference,1,12,7,26,eu-south-1,1,30
inference,5,2,8,25,us-west-1,1,36
inference,5,10,7,24,ap-northeast-3,1,26
preprocessing,5,0,3,32,ap-northeast-3,1,20
postprocessing,2,15,5,14,us-east-1,1,33
preprocessing,2,2,2,28,eu-south-1,3,33
inference,2,13,5,33,us-west-1,3,22
inference,4,0,3,22,eu-south-1,1,28
preprocessing,5,5,5,38,eu-west-2,3,32
preprocessing,1,6,5,28,ap-south-1,1,26
postprocessing,4,16,8,26,ap-northeast-3,3,30
postprocessing,5,13,6,38,us-east-1,2,23
inference,5,15,5,29,eu-west-2,6,35
inference,5,1,3,18,us-east-1,6,20
postprocessing,4,7,8,16,ap-south-1,3,23
postprocessing,2,10,4,26,us-east-1,6,25
inference,4,1,6,27,us-east-1,4,39
inference,1,14,3,10,eu-south-1,5,35
postprocessing,1,15,6,15,us-east-1,4,29
inference,4,16,5,28,us-west-1,1,31
preprocessing,1,7,4,37,us-west-1,6,30
postprocessing,6,7,3,24,ap-south-1,4,22
preprocessing,4,7,5,11,eu-south-1,1,35
preprocessing,5,6,6,28,eu-south-1,4,31
postprocessing,1,6,6,10,us-west-1,3,29
