name,cpu,gpu,ram,duration,location,replicas,latency
decoding,2,8,3,38,ap-south-1,3,50
preprocessing,4,7,4,25,eu-west-2,1,97
capturing,3,4,4,18,eu-west-2,3,62
preprocessing,2,9,2,36,eu-south-1,5,41
preprocessing,4,6,3,31,eu-south-1,1,69
rendering,2,3,2,17,ap-northeast-3,3,74
rendering,2,5,3,29,eu-south-1,4,90
rendering,2,8,4,17,us-east-1,5,71
preprocessing,3,9,2,13,us-west-1,3,76
rendering,2,9,2,10,eu-west-2,4,109
capturing,3,9,4,36,eu-south-1,4,119
capturing,4,1,2,18,eu-west-2,3,100
rendering,4,7,2,14,ap-northeast-3,4,79
preprocessing,3,11,2,10,us-west-1,3,10
preprocessing,3,7,4,47,us-east-1,5,29
preprocessing,3,8,2,18,us-east-1,3,22
preprocessing,3,2,2,18,us-east-1,4,78
preprocessing,4,1,2,22,us-east-1,3,22
capturing,2,8,3,50,eu-west-2,4,47
preprocessing,2,6,4,45,us-west-1,4,18
decoding,3,10,2,32,us-west-1,2,115
rendering,4,4,2,24,us-east-1,5,103
decoding,4,7,4,10,us-east-1,4,116
preprocessing,2,5,3,42,us-east-1,2,70
capturing,4,11,2,17,ap-south-1,1,12
preprocessing,3,3,3,48,ap-south-1,6,38
decoding,4,7,3,20,ap-south-1,5,93
decoding,3,12,2,45,ap-northeast-3,3,12
preprocessing,4,9,4,24,us-east-1,3,30
preprocessing,3,8,4,45,eu-west-2,6,115
preprocessing,4,8,4,11,ap-south-1,4,109
rendering,3,1,2,27,us-east-1,5,114
rendering,2,11,2,39,eu-west-2,6,34
capturing,3,12,2,18,ap-northeast-3,2,74
preprocessing,2,9,4,41,ap-south-1,3,104
rendering,2,9,4,33,us-west-1,3,22
capturing,3,5,4,11,eu-south-1,4,45
decoding,4,5,4,19,ap-south-1,2,51
preprocessing,3,10,3,42,ap-south-1,3,29
capturing,4,5,4,17,ap-northeast-3,1,94
preprocessing,2,8,2,37,ap-northeast-3,5,60
decoding,2,10,3,39,ap-south-1,2,98
preprocessing,4,12,4,27,us-west-1,5,12
capturing,4,9,3,15,us-east-1,2,83
decoding,3,3,2,20,us-west-1,4,47
capturing,3,10,4,20,ap-northeast-3,4,67
preprocessing,4,3,4,21,eu-south-1,1,30
decoding,2,7,4,22,ap-northeast-3,5,12
decoding,3,2,2,24,eu-west-2,4,18
capturing,4,0,4,49,us-west-1,4,84
capturing,3,4,3,15,eu-west-2,6,57
rendering,3,4,2,33,ap-south-1,6,64
capturing,3,11,3,22,eu-south-1,3,47
rendering,3,7,4,13,eu-south-1,1,55
decoding,4,1,4,46,us-east-1,3,22
rendering,3,10,3,50,eu-west-2,1,38
decoding,3,4,3,17,ap-south-1,3,85
rendering,4,6,4,42,us-east-1,2,112
capturing,2,2,3,22,eu-west-2,6,43
decoding,3,0,4,25,ap-south-1,1,98
decoding,3,0,2,16,eu-west-2,2,114
preprocessing,4,5,4,31,ap-northeast-3,3,14
rendering,2,4,2,23,us-east-1,2,65
decoding,4,2,2,24,eu-south-1,5,21
rendering,2,6,2,17,ap-northeast-3,4,83
capturing,3,0,3,40,ap-south-1,6,86
decoding,3,4,4,40,ap-northeast-3,6,99
decoding,3,4,2,18,eu-south-1,6,40
rendering,3,11,2,32,eu-west-2,6,13
capturing,4,4,2,30,ap-northeast-3,2,32
capturing,4,4,4,11,ap-south-1,1,99
preprocessing,3,8,4,47,ap-northeast-3,4,116
rendering,2,11,3,39,eu-south-1,2,20
capturing,4,5,3,24,us-west-1,5,12
preprocessing,4,8,3,45,eu-south-1,1,106
preprocessing,2,12,4,50,us-west-1,5,79
capturing,3,5,4,41,ap-south-1,6,31
capturing,3,12,3,36,us-east-1,4,84
rendering,4,0,4,34,eu-south-1,1,80
rendering,3,7,2,24,eu-west-2,2,73
rendering,3,0,3,35,us-west-1,5,120
capturing,4,10,2,18,eu-south-1,3,55
decoding,4,4,3,24,eu-west-2,5,27
rendering,2,7,4,18,ap-northeast-3,3,73
decoding,3,11,3,34,us-east-1,6,10
capturing,3,3,3,47,eu-south-1,6,60
rendering,4,8,3,17,us-west-1,2,101
rendering,3,0,3,17,eu-south-1,6,56
decoding,2,6,4,43,ap-south-1,2,115
rendering,3,3,3,28,us-east-1,1,42
decoding,4,10,4,33,eu-west-2,4,57
capturing,3,6,3,25,ap-northeast-3,2,93
rendering,4,11,2,21,ap-northeast-3,6,42
decoding,2,3,4,48,eu-west-2,1,21
decoding,4,5,2,42,us-east-1,6,120
decoding,2,5,3,41,ap-northeast-3,1,45
rendering,4,7,2,16,us-west-1,1,34
rendering,2,11,4,43,eu-south-1,1,83
rendering,4,1,3,28,eu-south-1,6,68
capturing,2,5,4,49,ap-south-1,5,37
